"Fecha","AGUA","CARBON","GAS","LIQUIDOS","PPP Bolsa Mes","Precio Min. Bolsa diario","Precio Max. Bolsa diario","PPP Bolsa diario"
"2015-01-01 00:00:00",187.3815259070501,123.22531824611033,204.97735350966437,971.700598289456,189.97255458064515,111.699107,212.210107,179.685917
"2015-01-02 00:00:00",179.86304505516185,119.77185289957568,208.4429364191252,971.705305101734,189.97255458064515,84.480854,248.480854,187.894382
"2015-01-03 00:00:00",202.82904652677482,123.87850070721358,213.45385554425232,971.3812712000001,189.97255458064515,153.869354,248.869354,201.16036
"2015-01-04 00:00:00",230.33020372378041,124.52653399668324,212.54017090539168,947.0970816000001,189.97255458064515,122.913838,242.913838,238.80004
"2015-01-05 00:00:00",205.8504445785556,125.27197346600333,212.4644712114233,979.080505223172,189.97255458064515,143.603771,251.603771,214.787935
"2015-01-06 00:00:00",201.0368389985459,125.27197346600333,214.8184113396332,947.0970816000001,189.97255458064515,46.791501,252.786501,220.157329
"2015-01-07 00:00:00",208.2602761933051,124.17177199052996,211.85397293413183,979.080505223172,189.97255458064515,198.134384,263.134384,233.031575
"2015-01-08 00:00:00",211.88994199772122,124.51428571428573,210.89453581571473,1023.1172943969613,189.97255458064515,202.655348,257.655348,230.573736
"2015-01-09 00:00:00",216.6387095165922,124.51428571428573,179.6108912943344,1023.1172943969613,189.97255458064515,157.112525,210.274525,200.838029
"2015-01-10 00:00:00",209.97875289774825,125.36930693069309,171.40342497408932,1021.8564226020895,189.97255458064515,181.734895,212.261895,205.088064
"2015-01-11 00:00:00",209.05684232793573,125.36930693069309,194.7184114359415,1035.4473229398666,189.97255458064515,192.031441,207.031441,202.078578
"2015-01-12 00:00:00",200.88603457043644,124.02814930015552,202.1940842929526,1016.7348157644827,189.97255458064515,180.09293,202.93393,196.879696
"2015-01-13 00:00:00",184.68991220008766,124.02814930015552,201.7154587747582,1016.7348157644827,189.97255458064515,178.78371,199.03871,195.369417
"2015-01-14 00:00:00",167.7040332115771,124.02814930015552,205.98176311996605,978.8170728000002,189.97255458064515,142.476278,203.476278,189.657378
"2015-01-15 00:00:00",155.7680157586805,124.02814930015552,205.66373584574936,984.4486568000002,189.97255458064515,143.608823,182.608823,173.795592
"2015-01-16 00:00:00",176.7557109385824,124.02814930015552,214.91823997035112,984.4486568000002,189.97255458064515,172.298659,276.298659,229.518102
"2015-01-17 00:00:00",177.35981678210712,124.02814930015552,203.5468019839756,972.7951896,189.97255458064515,172.146636,262.146636,208.125441
"2015-01-18 00:00:00",178.5395116323333,124.02814930015552,213.48587648911402,972.8436223999998,189.97255458064515,147.090525,222.310525,181.120562
"2015-01-19 00:00:00",163.0602442734404,123.99657853810264,212.52047304671905,972.8436223999998,189.97255458064515,162.291601,176.301601,172.029576
"2015-01-20 00:00:00",159.70520525616772,116.21757387247278,207.37546330916956,973.2688137903388,189.97255458064515,162.614776,217.624776,171.524889
"2015-01-21 00:00:00",154.29915465563835,124.00171073094867,199.1663770586203,1009.6438252611586,189.97255458064515,142.847419,254.847419,188.885036
"2015-01-22 00:00:00",154.89376874042946,123.23901639344263,211.3228538725678,981.2233204373422,189.97255458064515,143.368954,255.368954,173.261437
"2015-01-23 00:00:00",144.22187567509678,120.7417398244214,211.3253994658528,981.2233204373422,189.97255458064515,143.535266,172.535266,165.973932
"2015-01-24 00:00:00",145.043673888399,124.07138413685848,216.8464191251271,981.4244905978105,189.97255458064515,153.289685,179.289685,160.167743
"2015-01-25 00:00:00",155.40576723086065,122.67325038880249,239.47735711323102,850.075309090909,189.97255458064515,124.710399,214.711399,153.685889
"2015-01-26 00:00:00",129.812598743596,115.00413161338567,217.46315834906935,967.1409839999999,189.97255458064515,124.470517,192.470517,159.795443
"2015-01-27 00:00:00",144.96768843233588,123.58411214953271,209.88338860630716,967.553601924233,189.97255458064515,147.307514,255.307514,174.65067
"2015-01-28 00:00:00",145.74743788290277,123.58411214953271,200.88663426992173,1002.8743114909779,189.97255458064515,142.251528,174.270528,165.588699
"2015-01-29 00:00:00",129.12105125943302,123.58411214953271,213.59242502879079,1002.8743114909779,189.97255458064515,140.530348,174.050348,156.028686
"2015-01-30 00:00:00",151.3996532354925,123.58411214953271,217.58142495201534,1014.4981369587107,189.97255458064515,148.58927,252.58927,190.959764
"2015-01-31 00:00:00",137.4164150522732,125.04736842105262,200.96935840098345,975.0645428571424,189.97255458064515,149.711096,186.711096,168.035295
"2015-02-01 00:00:00",153.58452705234268,125.04728070175437,224.09901820725324,996.0962588235292,168.21424282142857,156.803766,175.803766,167.03542
"2015-02-02 00:00:00",126.75135438760734,124.46003754954454,224.46119188622055,996.0962588235292,168.21424282142857,120.10455,176.70955,159.81843
"2015-02-03 00:00:00",138.5718482005148,123.53425574361283,224.46119188622055,996.0962588235292,168.21424282142857,128.471499,222.981499,186.466218
"2015-02-04 00:00:00",135.225834405628,123.64214355310163,214.49653422073376,1000.4213193277309,168.21424282142857,144.200681,213.210681,174.352126
"2015-02-05 00:00:00",141.79468983733324,123.09650817236253,225.67048681326287,979.8025107967234,168.21424282142857,152.891502,203.391502,180.467283
"2015-02-06 00:00:00",136.53801213077855,123.09650817236253,226.2709913011375,980.401795216741,168.21424282142857,151.940488,193.930488,181.268073
"2015-02-07 00:00:00",146.44333213161832,123.83246110325317,208.65621757599618,1011.1579316389129,168.21424282142857,170.854335,182.854335,176.986267
"2015-02-08 00:00:00",162.61572703454226,122.41226708074535,207.5691750761516,988.8113295354949,168.21424282142857,161.748226,183.759226,164.521875
