,Date,PPPB,PPPB_T,PPPB_0,COSTO,COSTO_T,AHORRO,ENER,ENER_H,ENER_T,DISPO,DISPO_H,DISPO_T,DISPA,DISPA_H,DISPA_T,FORMA_01,FORMA_02,FORMA_03,AHORRO100
1484,2022-01-26,390.8333103237116,373.97837232846484,233.16759924616818,75809546.37018001,72540210.90218,0.043125643464950514,193969.0,155725.0,38244.0,0.8348169078281154,0.8309168769825677,0.848669999877051,342603810.0,235167650.0,104919850.0,0.4665179554390931,0.592700005835627,0.4383203274219551,4.312564346495051
1485,2022-01-27,437.60943506771514,412.38474780774015,215.51147575930003,83980313.85554,79139519.79754,0.05764200960628685,191907.0,154167.0,37740.0,0.8260970216626314,0.8191567995312977,0.8473838892890122,340119040.0,232923920.0,104760850.0,0.42351347053221183,0.49063599668431945,0.4091353428391127,5.764200960628685
1486,2022-01-28,473.79313962500265,443.80697684952685,262.03250531449066,91929135.29516001,86110980.10416,0.06328956725546775,194028.0,156408.0,37620.0,0.8359024334072336,0.8346192893787238,0.8440755922417926,343734810.0,236940030.0,104351850.0,0.41599635978856825,0.5574540974310128,0.3866701542351129,6.3289567255467745
1487,2022-01-29,481.881228405083,461.54809147609217,259.152477985907,89380775.88826,85609324.65126,0.04219532891183342,185483.0,145511.0,39972.0,0.8314914470457011,0.8336810706698059,0.8314549647751296,341970840.0,236723700.0,102791580.0,0.4162677471544341,0.5388557566841591,0.3642531900848541,4.219532891183341
1488,2022-01-30,459.03112239606605,407.51008458148635,153.005864626878,77665311.72268,68948261.25068,0.11223865943042921,169194.0,126693.0,42501.0,0.8145508199749407,0.8106714524114447,0.8281062239987265,335003600.0,230190120.0,102377580.0,0.3711493671628768,0.3289094808718906,0.4083208118800479,11.22386594304292
1489,2022-01-31,512.8881832813191,491.1579557056262,264.77053837078734,98572492.83302,94396138.66502,0.04236835295496355,192191.0,148475.0,43716.0,0.831990530343039,0.8288717724453075,0.8444395858044452,342176100.0,235358100.0,104396850.0,0.40675716440669474,0.5104685284183207,0.3327903113756489,4.2368352954963555
1490,2022-02-01,568.4037762484933,539.1548206750414,303.71804587009046,110810884.58342001,105108771.44542,0.05145805991384711,194951.0,157787.0,37164.0,0.7860916869145488,0.789677294962177,0.7816790068573152,323336830.0,224228830.0,96637850.0,0.38894981329955286,0.5306678520502844,0.29058886519706223,5.1458059913847105
1491,2022-02-02,632.7591585479119,607.1168613271009,338.0218638979779,124539657.58540002,119492740.6464,0.04052457696488543,196820.0,153282.0,43538.0,0.7563848392354158,0.7492033785203077,0.7758146661256914,308823180.0,210463480.0,95912850.0,0.3914176923067889,0.5276094601174292,0.22935012866882518,4.052457696488543
1492,2022-02-03,672.7561791417795,656.8833515545124,313.06241088896627,131287022.84716,128189472.28915998,0.023593729911950745,195148.0,144400.0,50748.0,0.7902382726224273,0.7925842705063336,0.7897920189315478,322996580.0,223002360.0,97640850.0,0.3479712083887634,0.45818424729669144,0.21438002794476285,2.3593729911950745
1493,2022-02-04,642.9987998594418,627.7551367194908,346.43609445504325,125984683.85286,122997947.20286,0.02370714088935033,195933.0,158709.0,37224.0,0.8222029522535325,0.8455345746636057,0.7738005684123475,336101070.0,237941100.0,95663850.0,0.34580849597239277,0.5322953018186438,0.19337354267726406,2.370714088935033
