Uandaki,DONCELL1,115,Ener.Act.,10.8164406300,10.3485636600,10.0418977000,9.7234905400,9.7462056250,10.2403407250,10.1775440200,10.6702508700,11.8012327950,12.3756719900,12.7764074200,13.2543796550,13.5861404600,13.1629066450,12.8542706850,12.9734931150,12.9057950500,13.0303325400,14.1412667600,14.5410221150,14.2649315400,12.7219359350,11.4728032600,10.1417047950
Uandaki,DONCELL1,115,Ener.Reac,1.5647302690,1.4970461497,1.4526831724,1.4066216871,1.4099077017,1.4813903802,1.4723060697,2.1996820811,2.4328350505,3.1488687992,3.7832001658,3.9247317074,4.5335516942,4.3923230366,4.2893344739,3.8415588741,3.8215129157,3.8583894991,3.5981071346,3.6998209781,3.6295724293,2.6226388540,2.3651289982,2.0907218191
Uandaki,DONCELL1,115,Perd.PSTR,0.1647173700,0.1575923400,0.1529223000,0.1480734600,0.1484193750,0.1559442750,0.1549879800,0.1624911300,0.1797142050,0.1884620100,0.1945645800,0.2018433450,0.2068955400,0.2004503550,0.1957503150,0.1975658850,0.1965349500,0.1984314600,0.2153492400,0.2214368850,0.2172324600,0.1937350650,0.1747127400,0.1544422050
Uandaki,FLORENC1,115,Ener.Act.,12.5304440550,11.7336834650,11.1841559050,10.8717079950,10.5305847650,10.6682936750,10.4309224650,10.8308836850,12.1636103550,13.6169561850,14.7596931000,16.0383826700,16.4583216600,16.0575143250,15.3557047800,15.2271800100,15.1019599150,15.1816542950,15.8657653600,16.1816942600,16.0281554150,14.4227837000,13.2430038900,11.7047421950
Uandaki,FLORENC1,115,Ener.Reac,6.5172963484,6.4296156619,6.4348763881,6.2551074636,6.0588400084,6.1380717199,6.0014986600,6.2316189330,6.6651993704,7.4615780301,8.0877547280,8.7884283494,9.4694017446,9.2387946538,8.8350039960,8.7610564388,8.6890102478,8.7348629245,8.2520534940,7.9564997190,7.4138511159,6.6712836419,6.5115528100,6.0878348151
Uandaki,FLORENC1,115,Perd.PSTR,0.1908189450,0.1786855350,0.1703170950,0.1655590050,0.1603642350,0.1624613250,0.1588465350,0.1649373150,0.1852326450,0.2073648150,0.2247669000,0.2442393300,0.2506343400,0.2445306750,0.2338432200,0.2318859900,0.2299790850,0.2311927050,0.2416106400,0.2464217400,0.2440835850,0.2196363000,0.2016701100,0.1782448050
Uandaki,FLORENC2,115,Ener.Act.,4.9884330150,4.8341928500,4.7461634000,4.6514408750,4.7352860450,4.9495068000,5.4057558450,6.0990993150,6.5640084800,6.8977757300,7.3501931250,7.6254582700,7.1503257900,6.5950635600,6.6046899650,6.6106748250,6.5829588950,7.1657636950,8.3151464050,7.3527541250,6.9764920050,5.7983010000,4.9358074200,4.4806005050
Uandaki,FLORENC2,115,Ener.Reac,1.0283700776,0.9965733250,0.9784259725,0.9588988364,0.9761835957,1.0203454024,1.1144015648,1.5518562185,1.6701478123,2.0424885828,2.4526818777,2.5445349517,2.6347428583,2.4301405454,2.4336876707,2.2059124253,2.1966639119,2.3911397232,2.4621837911,2.1772114578,2.0657971245,1.4753210268,1.2558679639,1.1400450127
Uandaki,FLORENC2,115,Perd.PSTR,0.0759659850,0.0736171500,0.0722766000,0.0708341250,0.0721109550,0.0753732000,0.0823211550,0.0928796850,0.0999595200,0.1050422700,0.1119318750,0.1161237300,0.1088882100,0.1004324400,0.1005790350,0.1006701750,0.1002481050,0.1091233050,0.1266265950,0.1119708750,0.1062409950,0.0882990000,0.0751645800,0.0682324950
Uantioquia,AMAGA__1,110,Ener.Act.,11.9190319000,11.2335408500,10.6682198000,10.4344891500,10.7594406500,10.6023627000,12.4770442500,13.2935206000,14.3636246000,14.5479082500,15.1545205000,15.2058981000,14.9376038000,13.9198624000,13.3279365000,12.7703280000,12.4720207500,13.1479474500,17.5759460000,18.1192326000,15.9076515000,13.1614813500,12.1259016000,9.9319520000
Uantioquia,AMAGA__1,110,Ener.Reac,5.3562863049,5.3432538435,5.1435675359,5.0099756992,4.9091249595,5.0306499068,5.3915574098,5.3919191949,5.4688197905,5.3840776713,5.9255672729,6.0978749123,6.0088768046,5.9676143004,6.1707703358,6.2996881315,6.1586179472,5.9132796748,6.0378814184,5.9338312677,5.6666305989,4.8288643427,4.9244812808,4.7055845382
Uantioquia,AMAGA__1,110,Perd.PSTR,0.1815081000,0.1710691500,0.1624602000,0.1589008500,0.1638493500,0.1614573000,0.1900057500,0.2024394000,0.2187354000,0.2215417500,0.2307795000,0.2315619000,0.2274762000,0.2119776000,0.2029635000,0.1944720000,0.1899292500,0.2002225500,0.2676540000,0.2759274000,0.2422485000,0.2004286500,0.1846584000,0.1512480000
Uantioquia,ANCONSU1,110,Ener.Act.,28.3630454500,27.0041887000,26.3625006000,25.6818163500,25.2448506500,25.3351948500,26.9201682000,29.3546942000,32.2324308000,33.5407275000,35.5030445000,36.8779075000,36.9651982000,36.4445272000,34.4077245000,33.3279675000,32.5426762500,32.1289171500,37.8145440000,40.0112023500,39.2057580000,34.8041082000,33.9839184000,31.5810700000
Uantioquia,ANCONSU1,110,Ener.Reac,8.5239138764,8.3668328869,8.4265970868,7.9483246997,7.7485281471,7.2177134206,8.7331908968,9.3961138922,10.0368741075,10.1489310178,11.7597899265,12.5183749124,12.3362281973,12.1414487975,11.5112168407,11.1870900932,10.8368560441,10.3720901565,11.1196325589,10.9924407698,10.8038247969,9.5065813457,10.0615829219,10.3516424833
