FECHA	HORA	I_A	I_B	I_C	KVA_Tot	kVAr_Tot	kW_Tot	V_A_B	V_B_C	V_C_A
2018-10-28	19:00:00	75.4439926147461	75.1684799194336	74.5688323974609	1438.12817382813	198.039001464844	1424.00134277344	11142.0791015625	11179.3291015625	11215.828125
2018-10-28	20:00:00	76.7658843994141	76.3860778808594	75.8589859008789	1462.76147460937	200.579452514648	1448.52136230469	11132.759765625	11170.0556640625	11206.2822265625
2018-10-28	21:00:00	78.0877838134766	77.6036758422852	77.1491394042969	1487.39489746094	203.119918823242	1473.04138183594	11123.44140625	11160.7822265625	11196.736328125
2018-10-28	22:00:00	79.4096832275391	78.8212738037109	78.4393005371094	1512.0283203125	205.660369873047	1497.56127929688	11114.1220703125	11151.5087890625	11187.1904296875
2018-10-28	23:00:00	80.7315826416016	80.0388717651367	79.7294540405273	1536.66162109375	208.200836181641	1522.08129882813	11104.802734375	11142.234375	11177.64453125
2018-10-29	00:00:00	82.0534820556641	81.2564697265625	81.0196075439453	1561.29504394531	210.741302490234	1546.60119628906	11095.484375	11132.9609375	11168.099609375
2018-10-29	01:00:00	83.3753814697266	82.4740676879883	82.3097610473633	1585.92846679688	213.281753540039	1571.12121582031	11086.1650390625	11123.6875	11158.5537109375
2018-10-29	02:00:00	84.6972808837891	83.6916656494141	83.5999221801758	1610.56188964844	215.822219848633	1595.64123535156	11076.845703125	11114.4140625	11149.0078125
2018-10-29	03:00:00	86.0191802978516	84.9092636108398	84.8900756835937	1635.19519042969	218.362670898437	1620.1611328125	11067.52734375	11105.1396484375	11139.4619140625
2018-10-29	04:00:00	87.3410797119141	86.1268615722656	86.1802291870117	1659.82861328125	220.903137207031	1644.68115234375	11058.2080078125	11095.8662109375	11129.916015625
2018-10-29	05:00:00	88.6629791259766	87.3444595336914	87.4703826904297	1684.46203613281	223.443588256836	1669.201171875	11048.888671875	11086.5927734375	11120.3701171875
2018-10-29	06:00:00	89.9848785400391	88.5620574951172	88.7605438232422	1709.09533691406	225.98405456543	1693.72106933594	11039.5693359375	11077.318359375	11110.82421875
2018-10-29	07:00:00	91.3067779541016	89.779655456543	90.0506973266602	1733.72875976563	228.524520874023	1718.24108886719	11030.2509765625	11068.044921875	11101.2783203125
2018-10-29	08:00:00	92.6286773681641	90.9972534179687	91.3408508300781	1758.36218261719	231.064971923828	1742.76098632813	11020.931640625	11058.771484375	11091.732421875
2018-10-29	09:00:00	93.9505767822266	92.2148513793945	92.6310043334961	1782.99548339844	233.605438232422	1767.28100585938	11011.6123046875	11049.498046875	11082.1875
2018-10-29	10:00:00	95.2724761962891	93.4324493408203	93.9211654663086	1807.62890625	236.145889282227	1791.80102539063	11002.2939453125	11040.2236328125	11072.6416015625
2018-10-29	11:00:00	96.5943756103516	94.6500473022461	95.2113189697266	1832.26232910156	238.68635559082	1816.32092285156	10992.974609375	11030.9501953125	11063.095703125
2018-10-29	12:00:00	98.4989318847656	95.7984008789063	96.7015991210937	1853.02136230469	212.016006469727	1848.60913085938	11009.8359375	11046.6357421875	11080.5283203125
2018-10-29	13:00:00	91.7494430541992	91.4000015258789	90.7290802001953	1748.65100097656	210.941833496094	1736.65100097656	11056.673828125	11090.8984375	11128.8525390625
2018-10-29	14:00:00	87.3811416625977	86.3362274169922	86.4299392700195	1654.14050292969	167.401138305664	1644.92797851563	11103.5126953125	11135.16015625	11177.1767578125
2018-10-29	15:00:00	88.9990081787109	90.0966262817383	88.6972198486328	1721.96423339844	187.976196289063	1716.45483398438	11150.3505859375	11179.4228515625	11225.5009765625
